Date,MMM,AOS,ALK,ALLE,AAL,AME,BA,CHRW,CAT,CTAS,CPRT,CSX,CMI,DE,DAL,DOV,ETN,EMR,EFX,EXPD,FAST,FDX,FLS,FBHS,GD,GE,GWW,HON,HWM,HII,IEX,INFO,ITW,JBHT,J,JCI,KSU,LHX,LMT,MAS,NLSN,NSC,NOC,ODFL,PCAR,PH,PNR,PWR,RTX,RSG,RHI,ROK,ROL,SNA,LUV,SWK,TDY,TXT,TT,TDG,UNP,UAL,UPS,URI,VRSK,WAB,WM,XYL
10/10/16,149.7236938,46.66224289,65.43617249,64.4882431,37.48605728,46.17857361,124.9833527,64.2143631,77.9693222,104.6044922,27.10000038,29.01354027,112.7953644,80.84809113,36.57508087,49.34853363,57.15865326,45.22832108,124.668045,48.464077,18.50498199,165.3773041,42.62239456,52.87386703,139.1750031,25.67613411,203.947525,93.57006836,22.86789703,146.0867767,85.1085434,36.16158295,105.0985794,77.93650055,49.94762421,35.608181,89.11845398,85.95339966,209.2888794,32.1411438,44.57548904,87.66294098,202.7517395,46.9288559,49.3235054,115.5362396,36.84869766,28.46250916,56.80059433,45.85775757,35.51966476,106.7309341,11.94520092,135.3737793,38.26800156,112.4579239,105.6999969,38.57089233,48.02400208,212.9877777,88.73177338,54.20000076,94.52114105,81.27999878,79.04186249,78.87487793,57.55753326,47.61316299
10/11/16,148.4464111,46.14989471,64.89328003,63.48179626,36.82096863,45.07121658,123.0512009,64.04226685,77.30646515,103.2258911,26.82500076,28.67475319,112.5225372,80.44151306,35.81175613,49.51132202,56.24967194,44.37215805,122.3288651,48.13464355,17.55601501,165.2538757,41.42565918,51.629776,136.1800995,25.72951126,197.712204,92.67640686,20.25525284,144.0771942,82.59476471,35.71660614,103.8616867,78.44477844,48.2711525,35.2102356,90.73157501,84.76335144,207.9970245,31.52449989,43.91360474,86.60179901,201.441391,46.56180954,48.41307449,113.6705322,36.46036148,27.58171844,56.11317825,45.59119415,34.7319603,105.0530167,11.80664539,133.0341339,38.28725815,108.7426071,102.6299973,37.61803055,46.28078842,208.0552216,87.99347687,53.52000046,94.21776581,79.5,78.35112,78.57375336,57.23665237,46.97050476
10/12/16,148.4813843,46.4479866,65.92288208,64.24858093,36.0305748,44.91579819,122.5175476,63.75243759,77.40367889,103.6319199,27.06500053,28.43007088,112.4433289,80.33985901,36.11525345,49.79251099,57.26558685,43.85670853,123.641098,48.32289124,17.16060448,164.741272,41.02981567,52.33665085,136.5442352,25.71172333,199.072525,94.12200928,19.67466545,145.7596893,82.60423279,35.85504532,105.4506836,77.92690277,48.52165222,35.17044449,88.81481934,84.66109467,208.2213287,31.93366241,44.16817093,85.45833588,202.9670105,46.45039368,48.42993546,114.4648361,36.75007629,27.7103672,56.20407867,45.67391586,35.03422546,106.0287628,11.84443188,133.6508026,38.49893951,111.875679,103.4199982,37.68750381,47.09524155,208.6040955,87.41925049,52.88000107,94.25244904,80.18000031,78.4695282,78.63204193,57.59420395,47.35798645
10/13/16,148.7438812,45.91698837,68.29099274,63.77892685,37.82342911,44.39125824,122.7199783,63.67997742,76.86454773,103.2353363,26.94000053,29.31468964,111.0000687,79.78540039,36.79580688,49.31152725,56.27640533,43.85670853,122.6521835,47.98405457,16.84428024,162.282547,40.21970749,51.95966339,137.4636078,25.5960598,195.1104126,94.84918976,19.41339874,145.4325256,82.01602936,35.76604843,104.5839462,76.65148163,48.35786438,34.61331177,88.49221039,83.47102356,209.0197296,31.74335289,44.59246063,86.7390213,204.3896942,45.69664383,47.78925705,113.9937973,36.25078583,27.59161377,56.72673798,45.61876297,34.54878616,106.0561295,11.86962605,132.3721313,39.81719971,111.6723557,102.8899994,37.66765976,46.71659088,209.536499,88.17576599,53.68999863,93.87107086,78.20999908,78.31164551,78.37948608,56.567379,46.93270493
10/14/16,149.0150604,45.58163071,67.68257141,64.88121033,37.25473022,44.5272522,122.8303986,63.63469696,77.48322296,103.15979,26.98999977,29.20176125,110.6744537,79.8408432,36.82339859,50.15509415,56.41007233,43.57714462,123.9453812,48.00287247,16.84428024,162.3110504,39.94353867,51.87482834,137.7640228,25.70282364,195.5576782,95.49752045,19.18842697,146.3765869,81.97807312,36.19124603,104.6290894,76.73776245,48.22297287,34.92370605,89.71625519,83.36875916,208.6429138,31.89560318,45.42406464,86.84879303,204.9045105,45.58522034,47.8988533,115.0282593,36.20763779,27.65099144,56.90286255,45.79341125,35.02506638,106.5120926,11.84023571,133.6054382,39.75946426,112.0420532,103.2600021,37.48899078,47.00236511,208.6717834,88.26691437,53.20000076,93.97506714,75.26999664,78.32152557,78.5154953,56.73239899,46.7531395
10/17/16,148.9101105,45.98220062,67.33628082,65.50424957,37.18725204,44.14842606,123.2904358,62.1946373,77.14737701,102.215538,26.97500038,29.18293762,110.7096558,79.90553284,36.1888237,50.03670502,56.24967194,43.41115952,123.1656418,48.04993439,16.81352425,162.1781616,39.68578339,52.41205215,136.9811554,25.66723824,195.8955231,94.65644836,19.12310982,148.8722534,82.5188446,36.17147064,104.7916107,75.23216248,48.44456863,34.81229019,89.86807251,83.28509521,208.8223877,32.1620369,45.37314224,86.75730896,205.1103973,45.73596191,47.89041901,114.8897018,36.36789703,27.32440758,56.64720535,46.09674072,34.80524445,105.3448334,11.83603382,135.2740631,39.6824913,111.1178284,104.0899963,37.53862381,46.630867,210.5590973,88.20309448,53.02999878,93.63703156,75.69999695,78.4201889,77.47611237,57.42918015,46.49796677
10/18/16,148.6826019,45.83315277,67.49537659,65.08250427,37.9294548,44.34269333,124.302536,62.31237793,77.08551025,102.3571777,27.05999947,29.19235039,111.8096924,80.03491974,36.28998947,49.97750473,56.31203842,43.57714462,123.8788071,46.51572418,16.76520348,162.0832214,39.52007675,51.65805817,138.2555695,25.78289604,187.9348145,94.50751495,19.23922729,150.0967407,82.33856964,36.8834343,103.8978043,75.75002289,48.73361969,34.99533844,87.84697723,84.03817749,208.8403168,31.848032,45.72955322,86.88538361,205.3912354,45.88671875,47.9831543,113.4396057,36.63911819,27.62130165,56.80628204,46.17947006,34.86019135,105.7551956,11.86542797,135.6277008,40.10587311,110.9052734,105.1200027,37.80661392,46.4093895,212.1005096,88.15753937,53.68000031,93.72370911,76.44000244,79.27870178,78.49604797,57.33749771,46.4507103
10/19/16,148.6476593,45.46052551,68.75898743,64.4115448,39.16324234,44.36212158,125.2961807,62.27614975,77.77487946,102.0550156,27.22999954,29.23940277,112.9097748,79.98869324,37.6143074,51.36864471,56.74871445,43.60335541,123.8122482,46.76044846,17.09910202,161.8174133,40.91934204,50.7909584,137.8368683,25.85406876,187.1496735,94.85797882,19.62386131,148.6853333,82.77500153,37.10097504,104.4755936,74.57048035,48.92632294,35.32166672,88.17908478,85.20033264,208.4276428,31.34370804,46.09442902,87.48914337,204.1931458,46.04402542,48.00843811,114.2801132,36.54613113,27.91819763,56.6756134,46.11512375,35.03422546,107.1048431,11.85283089,135.2196503,40.65434647,110.5448303,105.6699982,37.80661392,46.74517822,211.784729,88.52212524,55.43999863,93.65435791,75.58000183,79.38725281,80.60394287,57.23665237,46.7531395
10/20/16,148.6038666,45.14379501,70.47187805,64.4882431,39.12469482,44.16784668,124.9833527,62.2670784,77.23991394,100.6291885,27.02000046,28.55241585,111.7481079,79.57286835,38.12931442,50.46588516,56.85564804,43.81302643,123.1656418,46.69455719,17.05077171,161.095993,40.25653076,51.00774002,137.1905823,25.86296463,187.5696564,94.7440567,19.36985588,146.9280548,82.32910156,37.22952652,102.2727127,74.41704559,48.82033539,35.17044449,86.79372406,84.65179443,207.9790649,31.5816021,45.86531448,85.19303894,203.4443817,45.70319366,47.73867798,113.4211426,36.13074875,28.04685593,56.40859222,45.94047546,34.97927475,107.6155167,11.84023571,144.2427368,40.69282913,111.1178284,105.4700012,39.19620132,47.01665497,213.8642578,82.61579132,56.56999969,93.09096527,79.12999725,79.02215576,80.16680145,57.24582291,46.23334122
10/21/16,148.2889709,44.79911423,69.78858185,64.39237976,38.45959854,43.95414352,124.7901535,62.36672211,76.972435,100.5158768,26.75,28.50536346,111.4488754,79.86856079,37.86260986,50.79146576,56.77544785,43.7780838,123.3843536,46.87339783,16.98878098,161.5706177,40.13685989,51.16796875,136.7080536,25.78289604,186.0176544,95.46248627,19.50774574,145.5166321,81.89269257,37.21963501,102.0740891,75.09792328,48.70472717,35.06697083,85.71200562,84.17761993,206.8038177,31.48643875,46.33203125,85.00095367,202.04039,45.93915558,47.62066269,113.7906036,36.18655396,27.97758102,56.05635834,45.89451599,35.61125946,112.156868,11.81924057,143.7984009,40.82754135,110.6372223,105.1399994,38.62052155,46.98092651,216.0588684,82.36968994,55.59999847,92.88297272,79.18000031,80.18656158,80.14735413,57.03495407,46.15773392
