Date,APD,ALB,AMCR,AVY,BLL,CE,CF,CTVA,DOW,DD,EMN,ECL,FMC,FCX,IFF,IP,LIN,LYB,MLM,NEM,NUE,PKG,PPG,SEE,SHW,MOS,VMC,WRK
2019-03-08,173.69358825683594,79.9484634399414,9.562790870666504,104.75165557861328,54.232994079589844,95.19599151611328,37.75143051147461,,,75.14781951904297,73.39681243896484,166.34356689453125,74.65234375,11.87968921661377,119.3157958984375,41.462242126464844,164.35476684570312,79.29198455810547,193.2170867919922,31.952190399169922,53.99931716918945,91.45875549316406,105.83918762207031,43.5843391418457,410.544677734375,27.476181030273438,111.51917266845703,35.06733322143555
2019-03-11,176.17410278320312,82.39596557617188,9.562790870666504,105.47640228271484,54.81466293334961,96.82743072509766,38.828975677490234,,,76.38472747802734,75.02310180664062,166.9713897705078,75.528564453125,12.144991874694824,120.21018981933594,42.10542678833008,166.11990356445312,80.71148681640625,195.381103515625,31.705751419067383,55.1019172668457,91.82496643066406,107.4514389038086,43.545494079589844,421.39483642578125,28.152788162231445,111.99066925048828,36.081214904785156
2019-03-12,176.2698516845703,82.35741424560547,9.701515197753906,106.83895111083984,55.830116271972656,96.53166961669922,39.11943817138672,,,76.37098693847656,75.45987701416016,167.73654174804688,75.55744934082031,12.429946899414062,120.05796813964844,42.44060134887695,167.12863159179688,81.23925018310547,192.80397033691406,32.71995544433594,55.18601989746094,93.14895629882812,107.306640625,44.011634826660156,416.1863708496094,28.113567352294922,109.51531219482422,36.78813552856445
2019-03-13,177.2754669189453,83.07046508789062,9.683018684387207,106.26881408691406,56.30332946777344,97.14227294921875,40.29068374633789,,,76.82450103759766,76.0732192993164,169.8260040283203,75.56709289550781,12.439772605895996,119.3538589477539,42.8572998046875,169.13623046875,80.8752670288086,187.56114196777344,32.615692138671875,55.59714889526367,94.89550018310547,107.48040008544922,43.982505798339844,418.65765380859375,28.192012786865234,107.92401123046875,36.81604766845703
2019-03-14,177.38084411621094,81.99436950683594,9.683018684387207,106.41377258300781,56.4610710144043,95.7588882446289,40.018951416015625,,,75.62884521484375,74.56561279296875,170.29689025878906,74.29608154296875,12.10568618774414,118.89714050292969,42.54024124145508,168.96168518066406,79.5649642944336,188.56446838378906,31.677305221557617,54.961753845214844,93.45697784423828,105.88746643066406,43.70087432861328,422.2120361328125,27.829193115234375,109.25991821289062,36.42537307739258
2019-03-15,177.03604125976562,82.66207885742188,9.683018684387207,106.50072479248047,56.68782043457031,96.57938385009766,40.337528228759766,,,75.9724349975586,73.63858032226562,171.1503143310547,74.37310791015625,12.13516616821289,118.54508209228516,41.22671127319336,171.11477661132812,79.16458892822266,190.3350067138672,31.41191291809082,54.69077682495117,91.02473449707031,106.22535705566406,43.99221420288086,424.3880310058594,28.152788162231445,110.59583282470703,34.92780685424805
2019-03-18,177.53407287597656,83.63948059082031,9.683018684387207,107.84394836425781,57.06245422363281,96.69385528564453,39.794071197509766,,,75.87621307373047,73.47001647949219,172.27157592773438,74.06497955322266,12.400468826293945,118.86859893798828,41.87895202636719,169.2914276123047,79.4102783203125,191.77113342285156,31.27920913696289,55.04585647583008,92.33075714111328,107.11353302001953,44.37095642089844,424.70306396484375,28.084148406982422,111.9513931274414,35.60682678222656
2019-03-19,177.08392333984375,82.47822570800781,9.683018684387207,108.49139404296875,57.23991394042969,96.31224060058594,39.43801498413086,,,75.69756317138672,73.52620697021484,172.1732177734375,73.43910217285156,12.459425926208496,117.56507110595703,41.82460021972656,168.35064697265625,79.1281967163086,194.53518676757812,31.54460906982422,55.1019172668457,93.03109741210938,107.06526947021484,43.953365325927734,423.6397399902344,27.995895385742188,113.22835540771484,35.77425765991211
2019-03-20,176.84449768066406,81.71373748779297,9.683018684387207,106.27848815917969,57.2990608215332,96.35995483398438,38.96952819824219,,44.805233001708984,75.60135650634766,73.63858032226562,171.602783203125,72.87100219726562,12.596990585327148,116.59456634521484,40.9187126159668,171.3087615966797,78.554931640625,192.5580596923828,32.103851318359375,54.33570861816406,91.30865478515625,106.98804473876953,43.7105827331543,422.6452941894531,27.633075714111328,113.30693817138672,35.02082443237305
2019-03-21,179.27713012695312,82.74919128417969,9.886482238769531,107.4960708618164,58.00889587402344,97.96275329589844,38.5197639465332,,44.067474365234375,76.85198974609375,73.98503875732422,172.93057250976562,74.7293701171875,12.695249557495117,120.3243637084961,41.444129943847656,169.8248748779297,80.35661315917969,195.44012451171875,32.53986740112305,54.961753845214844,92.99324035644531,108.74510192871094,44.37095642089844,426.94793701171875,27.750743865966797,115.40904235839844,35.439395904541016
