Date,AFL,ALL,AXP,AIG,AMP,AON,AJG,AIZ,BAC,BLK,COF,CBOE,SCHW,CB,CINF,C,CFG,CME,CMA,DFS,RE,FITB,FRC,BEN,GL,GS,HIG,HBAN,ICE,IVZ,JPM,KEY,LNC,L,MTB,MKTX,MMC,MET,MCO,MS,MSCI,NDAQ,NTRS,PBCT,PNC,PFG,PGR,PRU,RJF,RF,SPGI,STT,SIVB,SYF,TROW,BK,TRV,TFC,USB,UNM,WRB,WFC,WLTW,ZION
5/19/16,30.65252686,60.96440887,58.13549805,49.47566605,85.33487701,99.51425171,42.69695282,78.42365265,13.21862507,310.2755432,64.95846558,61.23182678,27.31303406,112.5735245,59.00535583,39.99058914,19.56222725,80.51615143,38.05875397,48.84627151,162.3864288,15.51959991,67.51431274,27.78684425,56.82492447,142.5930786,39.61038208,8.524825096,49.10988998,22.76984024,55.45123291,10.53055477,39.24000549,38.85555649,102.8997498,128.933548,58.18260574,33.05581665,88.32948303,23.6619339,71.39040375,57.67529297,63.40112305,12.36149979,76.6048584,35.29382324,27.62925529,63.08092117,47.94424438,8.152543068,101.7173157,53.76242447,100.6200027,26.62335968,64.51268768,36.54816818,98.32080841,29.88480759,36.04341507,29.88778496,33.61393738,41.43366623,116.5869217,24.23199654
5/20/16,30.71062279,61.24716187,59.22889328,50.01114655,86.27115631,100.0935822,42.84039688,78.90951538,13.20952606,313.3201599,65.32687378,61.65751648,27.76573753,113.3850327,59.45019913,39.84858322,19.63056564,81.07937622,38.75353622,49.28591537,162.5398407,15.63938046,68.11325836,28.06306076,57.3443222,142.4179688,40.46463394,8.533168793,49.55457687,23.36301041,55.55621719,10.60704803,39.42567825,39.12828445,103.4061737,130.1828003,58.20074463,33.27962875,89.05076599,23.80420876,72.05414581,58.20593262,64.18692017,12.48292732,76.87507629,35.98537445,27.98565674,63.5472641,48.70659256,8.186977386,102.8787155,54.39107513,102.6699982,26.57000542,65.51004028,36.76300049,99.91928101,29.94455719,36.23439789,30.19431877,33.81308365,41.75053787,117.006218,24.4388752
5/23/16,30.60784721,61.00088882,58.92310715,49.94970322,86.1651535,99.84666443,42.67901611,78.40565491,13.16403866,313.2228088,65.06899261,61.37693787,27.61483192,113.5022507,59.06641006,40.03496552,19.62202072,81.23070526,38.72780991,49.07955551,160.8969727,15.51104546,67.39839935,28.1498661,57.17119598,143.2843781,40.1768837,8.508145332,49.7411232,23.62400436,55.51247406,10.60704803,39.13389206,39.04062271,102.908638,130.1246643,58.44550705,33.15280151,88.93686676,23.85756302,72.35756683,58.16018295,63.68686676,12.46673489,76.5525589,35.93538666,27.99414253,63.16272736,48.64150238,8.152543068,103.6117401,54.23169327,102.5699997,26.52554131,65.18636322,36.67348862,99.47279358,29.85919571,36.16495132,30.10916519,33.60187149,41.70772171,117.3602982,24.41189384
5/24/16,31.07701874,61.51166153,60.10916901,50.65198135,88.12606049,101.5561981,43.15421295,79.78227997,13.35508823,319.6660461,65.96238708,62.16060257,28.50137329,114.5662537,60.10434723,40.70058441,19.86120796,82.34031677,39.38827133,50.00371933,162.1246033,15.71637535,68.84741974,28.86012268,58.21958923,145.2568817,40.88727188,8.658288956,51.00547409,24.30417252,56.45721054,10.83652878,39.79703522,39.2062149,104.6588821,134.0951233,59.40647125,33.77199936,92.818573,24.37330627,74.85134125,60.03572845,64.85666656,12.65292931,77.60729218,36.76857376,28.41842461,64.40636444,49.7943306,8.307501793,106.6490402,55.38274765,104.1900024,26.94347763,66.9885788,37.30902863,101.3034668,30.33721924,36.70316696,30.77334404,34.07861328,42.13592911,117.984642,24.79866791
5/25/16,31.21107292,61.36572266,60.51686859,50.95922852,89.53050995,101.3567581,43.16318512,78.94549561,13.57342243,322.2416077,67.48204803,62.09288406,28.89748955,114.6653976,59.92118835,41.65908051,20.23707771,82.14698792,40.14309311,50.76638412,161.6642609,16.10137177,69.82307434,29.58616829,58.16188049,148.6304626,40.86928177,8.858481407,50.87546158,24.8103447,57.31448746,11.01501179,40.53090668,39.18673325,105.725029,135.5767975,59.50617981,34.15246582,93.12225342,24.70231628,74.50999451,59.92594147,66.13360596,12.82292938,78.65335083,37.00185776,28.22325325,65.19998932,50.4822998,8.479676247,106.2574081,56.38326263,107.8899994,27.2635994,67.67973328,37.78344345,101.3927841,31.04571342,37.29347229,31.09691429,34.09672546,43.24927521,117.8355331,25.33835411
5/26/16,30.91168594,61.57552338,60.44275284,50.69587708,88.47939301,101.6036911,43.04662704,78.36633301,13.37327862,321.365387,66.82814026,61.58011246,28.43535614,113.9440765,59.86885834,40.92245865,19.94663811,81.93682861,39.98871231,50.41644669,161.6551819,15.91314793,69.88103485,29.22313881,58.10416794,146.7593689,40.4916153,8.725020409,50.49860001,24.59680367,56.88586044,10.90807056,40.02692032,39.42051315,105.2541351,134.3759918,59.44271851,33.63025284,92.59078217,24.38219452,74.38672638,59.48679352,65.87467194,12.67721462,78.00829315,36.69358063,28.21476555,64.20179749,50.64965057,8.37637043,105.4360046,55.66606522,106.9400024,27.46812248,67.06731415,37.62233353,101.4463501,30.84085083,37.04172516,30.96068382,33.90361023,43.29209518,117.9753113,25.04153061
5/27/16,31.08148766,61.73057556,60.71146774,51.19625092,89.67183685,103.1707764,43.21698761,79.13552856,13.53703213,323.1266174,67.99780273,61.83166122,28.88805771,114.7104797,60.42705917,41.33958817,20.15165329,82.89514923,40.31465912,50.9458313,162.2003174,16.12703705,70.02592468,29.48357201,58.61392975,147.6478424,40.83491898,8.82511425,50.9150238,24.87361908,57.23575592,11.01929092,40.81385422,39.65756989,106.6840973,136.1384735,59.76908112,34.14500427,93.70119476,24.48001099,75.21166992,60.08146286,66.29434204,12.83102608,78.66205597,37.00185776,28.21476555,65.07724762,51.49566269,8.496894836,106.4675293,56.07336044,108.5999985,27.7082119,67.478508,37.8371582,101.9642868,31.02864838,37.28479004,31.38642502,34.21138382,43.54901886,119.1866455,25.32936287
5/31/16,31.0368042,61.57552338,60.93386078,50.80998993,89.80432892,103.778595,43.33355713,79.08123779,13.45515823,322.0291748,67.45441437,61.58011246,28.84090424,114.1604691,60.27006149,41.33070755,20.11748505,82.2898941,40.40043259,50.9727478,162.7272949,16.14415169,69.9486618,29.4756813,59.27759171,147.6015472,40.80781555,8.716677666,51.086483,24.83407211,57.09580231,10.96795654,40.53974915,39.49172211,106.8002853,135.5186768,59.89598846,33.98088455,93.61576843,24.33773804,75.65733337,60.39254379,66.16933441,12.85530949,78.22622681,37.12683487,28.25719643,64.83997345,52.12786102,8.462460518,106.7922897,55.83430481,110.1999969,27.74378014,67.41726685,37.64918137,101.9285812,31.04571342,37.17193985,31.43752098,34.41657257,43.43769455,119.2891388,25.20343781
6/1/16,31.01446533,61.81383133,61.0728569,50.68709564,90.40496826,103.8450775,43.28836441,78.23062897,13.56469727,322.6841431,67.43598938,61.39561844,29.05781937,114.8096771,60.49686432,41.65908051,20.1601944,82.39076996,40.66633987,51.10733795,162.6183014,16.27248001,68.85707855,29.05741501,59.08523941,148.0550537,40.77168274,8.76672554,50.70210648,24.76289177,57.46319199,11.02784443,40.41596603,39.45269775,106.5947189,136.2062378,59.98664093,34.15246582,93.82456207,24.44444084,74.63324738,60.01743317,66.42059326,12.92816925,78.22622681,36.83522034,28.34205246,64.48816681,52.25801468,8.548547745,105.8276062,55.74576187,109.9499969,27.82381439,67.38227081,37.81925583,102.553688,31.30179596,37.32820129,31.29276085,34.44070816,43.67749023,119.3357544,25.53624153
6/2/16,31.0904274,61.81383133,61.53614807,50.77487946,90.11347961,103.930542,43.60466385,77.52478027,13.63772392,321.6242371,67.58335114,61.0460701,29.0861187,115.2424698,60.72362137,41.68570709,20.3566761,81.99565887,40.35754013,51.2778244,161.58255,16.51203728,69.04060364,28.23666954,59.16217422,147.4164276,40.62713623,8.808432579,50.35540771,24.38326836,57.56817245,11.08773232,40.71658707,39.56002426,107.3186493,136.9809723,60.23141479,34.10024261,94.51739502,24.2577095,74.57637024,59.60572815,66.71671295,12.95245457,78.461586,36.92768478,28.14688492,64.41454315,52.602005,8.608808517,105.4933167,55.78117371,110.9599991,27.81492424,67.31227112,37.73870087,102.5804596,31.52373123,37.38029099,31.37791634,34.46485138,43.77170181,119.9693527,25.78809738
