Date,ATVI,GOOGL,GOOG,T,CHTR,CMCSA,DISCA,DISCK,DISH,EA,FB,IPG,LYV,NFLX,NWSA,TMUS,TTWO,DIS,TWTR,VZ
5/26/17,57.14321136,993.2700195,971.4699707,30.35986137,337.4400024,37.91017151,25.87000084,25.25,64.12000275,111.9807816,152.1300049,21.11683273,34.25,162.4299927,12.73125458,67.80000305,77.06999969,103.8156052,18.22999954,38.37876129
5/30/17,57.43736267,996.1699829,975.8800049,30.70232391,338.9200134,38.08623505,26.20000076,25.53000069,63.63000107,112.6998215,152.3800049,21.13393021,34.18999863,163.2200012,12.60792637,67.08000183,76.06999969,103.7485733,18.43000031,39.12398148
5/31/17,57.43736267,987.0900269,964.8599854,30.68638802,345.5499878,38.63298035,26.5,25.82999992,63.77000046,113.1791916,151.4600067,21.32209778,34.49000168,163.0700073,12.69330788,67.41999817,76.73999786,103.3655319,18.31999969,39.49659348
6/1/17,58.39824677,988.289978,966.9500122,30.95717812,346.3900146,38.60517883,26.73999977,26.05999947,65.20999908,113.7184753,151.5299988,21.66669464,34.77000046,162.9900055,12.87355518,67.90000153,78.12000275,103.6240845,18.53000069,39.38650513
6/2/17,58.48649216,996.1199951,975.5999756,30.95717812,353.0299988,38.91098022,26.48999977,25.85000038,66.08000183,114.3675995,153.6100006,21.7183857,35.38999939,165.1799927,12.88304234,68.31999969,77.65000153,102.6377335,18.30999947,39.3272171
6/5/17,58.633564,1003.880005,983.6799927,30.90939522,344.4299927,38.72564697,26.20999908,25.62999916,66.19000244,114.537384,153.6300049,21.5891571,35.02000046,165.0599976,12.75022793,67.40000153,77.31999969,102.0057068,18.22999954,39.26794434
6/6/17,58.6727829,996.6799927,976.5700073,30.84567261,342.8299866,38.66077805,26.15999985,25.51000023,64.58000183,113.5387115,152.8099976,20.88272858,35.16999817,165.1699982,12.78817368,66.11000061,77.66000366,101.0289383,17.56999969,39.3272171
6/7/17,59.34932327,1001.5,980.9400024,30.86957741,345.8800049,38.81830597,26.40999985,25.62999916,64.88999939,115.2164764,153.1199951,20.42613983,35.5,165.6100006,12.67433357,65.91999817,79.76999664,101.4311295,17.44000053,39.37804031
6/8/17,59.36893463,1004.280029,983.4099731,30.66249847,337.4500122,37.93797684,26.06999969,25.28000069,63.97000122,114.1379089,154.7100067,20.46921158,35.79000092,165.8800049,12.81663609,65.69000244,79.31999969,99.89894867,17.59000015,39.11551666
6/9/17,56.89808655,970.1199951,949.8300171,30.89346886,332.8399963,37.70630646,26.10000038,25.27000046,65.01999664,110.3130035,149.6000061,20.73627472,35.93000031,158.0299988,12.94945049,63.84000015,75.30000305,101.1438446,16.89999962,39.5643425
6/12/17,55.65285873,961.8099976,942.9000244,31.11646652,338.6499939,37.96577835,26.59000015,25.60000038,64.98999786,108.7550812,148.4400024,20.96887779,35.45000076,151.4400024,12.96842384,64.66999817,73.83000183,102.5036697,17.04000092,39.96235275
6/13/17,56.77062607,970.5,953.4000244,30.80585861,341.8099976,38.19744492,26.44000053,25.54000092,66.04000092,109.8336487,150.6799927,21.06365013,35.86000061,152.7200012,12.86406994,64.01000214,74.62000275,102.0440216,16.96999931,39.34415817
6/14/17,57.30989838,967.9299927,950.7600098,30.83772469,338.3299866,38.07697296,26.27000046,25.42000008,64.87999725,109.8735886,150.25,21.12395287,36.11999893,152.1999969,12.88304234,63.27000046,74.37999725,101.6418152,16.76000023,39.53892899
6/15/17,57.76092148,960.1799927,942.3099976,30.93328285,338.3399963,38.40130997,26.40999985,25.52000046,65.27999878,110.3829117,149.8000031,20.99472809,36.13999939,151.7599945,12.91150284,63.59999847,74.01000214,101.4886017,16.82999992,39.49659348
6/16/17,57.65306854,958.6199951,939.7800293,31.02885437,340.2200012,38.25303268,26.52000046,25.60000038,64.5,110.3629456,150.6399994,21.02918816,36.41999817,152.3800049,13.02534389,63.13000107,74.16000366,101.0385208,16.67000008,39.48812103
6/19/17,59.14342117,975.2199707,957.3699951,30.98904228,340.2600098,38.73490906,26.43000031,25.54999924,64.98000336,113.498764,152.8699951,21.40825081,35.66999817,153.3999939,13.0727787,64.01000214,74.09999847,100.9044495,17.05999947,39.43732071
6/20/17,58.97673798,968.9899902,950.6300049,30.78993225,333.6099854,37.42830276,25.51000023,24.72999954,63.24000168,113.3190002,152.25,20.98611069,34.79999924,152.0500031,12.79766178,63.97999954,73.09999847,99.53504944,16.90999985,38.90380096
6/21/17,59.49640274,978.5900269,959.4500122,30.38375092,333.8800049,37.32636642,25.57999992,24.79999924,63.24000168,113.0194016,153.9100037,20.84827232,34.65000153,155.0299988,12.83560944,63.56999969,73.05000305,100.3585968,17.78000069,38.45497131
6/22/17,59.9670372,976.6199951,957.0900269,30.34392548,334.1300049,37.01129532,25.52000046,24.81999969,63.02000046,112.4701385,153.3999939,20.78796768,34.38999939,154.8899994,12.75971508,63.56000137,73.05000305,99.80319214,18.14999962,38.46343994
6/23/17,59.2610817,986.0900269,965.5900269,30.22446442,330.7999878,36.60356522,25.79000092,25.05999947,63.88999939,110.7224655,155.0700073,20.89134789,34.84000015,158.0200043,12.89252949,63.40000153,72.87999725,99.93724823,18.5,38.4380455
6/26/17,59.04536819,972.0900269,952.2700195,30.38375092,332.6499939,36.68696976,26.20000076,25.44000053,63.84999847,111.7111435,153.5899963,21.27902222,34.86000061,157.5,12.9589386,63.15000153,73.56999969,101.0959778,18.29000092,38.74291229
6/27/17,57.15301895,948.0900269,927.3300171,30.02536011,329.8699951,36.37189484,26.12999916,25.38999939,63.83000183,108.1758575,150.5800018,21.27902222,34.65999985,151.0299988,12.9589386,61.00999832,71.16999817,100.9427567,18.12000084,37.97228241
6/28/17,57.66287613,961.0100098,940.4899902,30.21650505,340.2999878,36.93717575,26.13999939,25.39999962,64.73999786,108.6651993,153.2400055,21.54608345,34.79999924,153.4100037,13.13918591,61.47999954,73.26999664,102.3313065,17.95000076,37.97228241
6/29/17,56.45686722,937.8200073,917.789978,29.96164703,335.7399902,36.01975632,26,25.23999977,62.68999863,106.5380402,151.0399933,21.27902222,34.63000107,150.0899963,12.90201569,60.29999924,72.51999664,101.2300339,17.64999962,37.60813904
6/30/17,56.44705963,929.6799927,908.7299805,30.04925346,336.8500061,36.21329117,25.82999992,25.20999908,62.75999832,105.5793152,150.9799957,21.192873,34.84999847,149.4100037,12.9968853,60.61999893,73.37999725,101.7471542,17.87000084,37.81985092
7/3/17,55.16261292,919.460022,898.7000122,30.35189438,328.6700134,35.69223785,26.20000076,25.51000023,62.88000107,105.2797089,148.4299927,21.61500549,34.52000046,146.1699982,13.17713356,60,72.06999969,102.9058762,17.64999962,38.10777664
7/5/17,56.0450592,932.2600098,911.710022,30.35986137,335.1099854,36.01789474,26.07999992,25.45000076,62.77000046,106.6179352,150.3399963,21.63223457,34.45999908,147.6100006,13.02534389,59.95000076,73.27999878,101.1534195,17.81999969,37.81137848
7/6/17,55.51559448,927.6900024,906.6900024,29.99680138,332.1799927,35.58989334,25.78000069,25.07999992,63.40000153,105.6092758,148.8200073,21.39101601,34.00999832,146.25,12.56049156,59.45000076,73.19999695,99.70630646,17.92000008,37.33779526
7/7/17,56.95692062,940.8099976,918.5900269,29.83543968,332.4299927,35.88763046,25.81999969,25.14999962,63.88999939,107.3070068,151.4400024,21.32209778,34.22999954,150.1799927,12.63638687,60.00999832,74.58999634,99.67736053,18.02000046,37.30347824
7/10/17,57.36872101,951,928.7999878,29.71442223,336.6000061,36.06442261,26.25,25.46999931,64.30000305,107.6964874,153.5,21.38240051,34.65999985,152.6699982,12.47511101,60.79999924,74.48000336,99.93785095,18.07999992,37.06324768
