Date,ABT,ABBV,ABMD,A,ALXN,ALGN,ABC,AMGN,ANTM,BAX,BDX,BIO,BIIB,BSX,BMY,CAH,CNC,CERN,CI,CVS,DHR,DVA,XRAY,DXCM,EW,GILD,HCA,HSIC,HOLX,HUM,IDXX,ILMN,INCY,ISRG,IQV,JNJ,LH,LLY,MCK,MDT,MRK,MTD,PKI,PRGO,PFE,DGX,REGN,RMD,STE,SYK,TFX,COO,TMO,UNH,UHS,VAR,VRTX,WAT,WST,ZBH,ZTS
8/24/17,46.5437355,61.09957123,148.9299927,60.82294083,137.7799988,175.3099976,73.62545013,153.7149353,184.7087097,59.25502396,189.0304871,216.5899963,285.4500122,26.70999908,52.38697815,58.05192566,43,63.85762787,179.6475525,67.78142548,80.31520844,56.93999863,53.12896347,75.5,37.58333206,65.53078461,76.93428802,67.08235168,37.54000092,245.697052,152.5700073,193.9600067,123.8199997,330.1933289,95.11000061,120.9879532,154.4199982,72.98196411,141.4316711,73.29255676,56.51571274,591.8300171,64.47201538,73.99347687,27.6277523,98.47096252,485.2600098,70.8815155,81.78144836,133.2568512,204.6052704,245.4849396,174.2819061,184.5774994,107.4284515,101.2699966,156.0800018,180.9600067,84.25344086,109.7400742,60.10874557
8/25/17,46.51545334,61.41308212,147.6699982,61.03642273,137.5399933,172.5500031,73.34373474,153.5250244,184.4980621,59.25502396,189.7088013,215.8399963,285.0599976,26.71999931,52.56709671,58.03436661,42.95000076,64.05397034,179.1778564,67.74546051,80.65882111,57.22999954,53.30405807,75.51999664,37.25333405,65.32718658,77.17694092,67.28235626,37.90999985,246.818924,151.0800018,192.1900024,121.7600021,326.2099915,98.81999969,120.6489563,154.7700043,72.91718292,142.1154022,73.12608337,56.72299576,590.3800049,64.64017487,73.917099,27.76077271,98.88676453,477.7999878,71.16925812,81.99390411,134.3227844,203.9549866,246.15448,175.529892,184.207901,107.7449493,101.9899979,153.2700043,179.4199982,84.07630157,110.0707092,60.04998779
8/28/17,47.37318039,62.12482834,147.8999939,61.57982635,139.0200043,175.1100006,73.86963654,155.3701324,185.2640839,59.38025665,190.1673889,216.9299927,292.2999878,26.96999931,52.7562294,58.30662537,43.16999817,63.44532394,180.3770294,67.84436798,80.86499023,57.31999969,53.6542244,75.44999695,37.70333481,66.12397003,76.83720398,66.50196075,37.49000168,248.8383789,150.4400024,197.0500031,123.5400009,328.6666565,95.55000305,120.7039337,153.2200012,72.96346283,142.8376617,73.61627197,57.06546402,594.0599976,64.99623871,74.82411957,27.82728767,98.90524292,479.2200012,72.45452881,82.29325104,134.0250854,204.3195496,247.4535522,176.7283173,184.8997192,107.8735199,102.8899994,153.3999939,179.9400024,83.35785675,109.7789764,60.25561142
8/29/17,47.26950073,62.60778427,145.3899994,61.60894394,138.3800049,173.9900055,73.77571869,155.7771301,185.5992126,59.15869141,190.0240784,216.7599945,293.5799866,27.04999924,53.0083847,58.31540298,43.11000061,64.07360077,179.9673309,68.41078949,80.49193573,57.06999969,54.17947769,75.23000336,37.27666855,67.05353546,75.31327057,66.05097961,37.77000046,249.4236908,150.3200073,195.9400024,124.9700012,329.1333313,96,121.1345825,152.8800049,72.69508362,141.7591553,73.73654175,56.88520813,591.960022,65.16439056,74.1366806,27.85222816,98.67425537,479.0299988,71.8886261,82.52501678,133.8714142,202.5756683,245.9745789,178.7984009,186.4540863,105.7569962,102.8899994,152.8899994,180.3300018,83.73182678,109.7108917,60.21643829
8/30/17,47.23180008,62.63319778,147.4799957,62.00679016,138.4499969,174.8800049,73.55971527,157.0614777,183.3681335,59.38084793,189.0687256,217.8399963,303.75,27.07999992,53.4766922,58.39444733,43.21500015,64.91783142,179.5476074,68.67151642,80.63917542,57.52000046,54.1503067,74.13999939,37.5633316,71.91390991,75.11914825,66.51764679,37.91999817,248.0286407,152.7100067,199.7400055,138.2700043,332.0133362,95.79000092,120.090065,153.8399963,74.49047089,141.595047,73.8660202,56.88520813,598.4000244,65.47102356,74.01258087,27.81065941,99.1085434,487.1199951,72.49289703,83.04646301,133.794632,204.5166168,245.9346313,181.2052307,185.6484985,105.4699173,103.8600006,156.2899933,181.0599976,84.56835175,109.8956528,60.64725494
8/31/17,48.01412582,63.80249405,150.8000031,62.80250931,142.4100037,176.7400055,75.36278534,160.7878876,187.7153625,59.92172241,190.5399628,217.8200073,316.5599976,27.54999924,54.46733856,59.24634552,44.42499924,66.53759003,181.9359741,69.53462219,81.89578247,58.56000137,55.02573395,74.61000061,37.88666534,74.10948181,76.35188293,68.10980225,38.59999847,251.3260345,155.4299927,204.4600067,137.4100037,334.8900146,96.02999878,121.2811661,156.8699951,75.23084259,144.1142273,74.56897736,57.55212021,605.0900269,66.26234436,75.3874054,28.20142555,100.1156845,496.8999939,74.41120148,84.16662598,135.7535553,208.625061,250.6512451,185.3552856,188.5107727,107.0439453,106.25,160.5399933,183.4799957,85.66077423,111.1209412,61.39139557
9/1/17,48.240345,63.90417099,151.0599976,62.4725647,144.0800018,176.3800049,75.35340118,161.6381378,189.0463257,60.10523224,190.2629089,219.0299988,321.0100098,27.5,53.94499207,59.56251144,44.31000137,67.02841949,183.0452423,70.05609894,81.70926666,57.88000107,55.11326981,74.95999908,37.77000046,74.14488983,76.36157227,68.05097961,38.50999832,252.4284821,154.9799957,207.1499939,138.0299988,335.5833435,95.68000031,120.053421,157.6100006,74.11105347,144.2107391,74.04176331,57.52508545,602.9400024,66.26234436,75.33968353,28.23467827,99.94937134,504,74.420784,83.89624023,135.4846802,207.4033508,236.011673,184.2261658,189.31633,108.0042038,105.3099976,162.2400055,183.0299988,86.10365295,111.1792908,61.55784607
9/5/17,48.09895325,63.76013947,150.5099945,62.38524246,144.7200012,179.3300018,74.83691406,159.8563232,188.8069458,60.0569458,191.1418762,215.9799957,315.8299866,27.56999969,53.86393738,59.29903412,44.31499863,66.3117981,185.1837616,70.74837494,81.54237366,57.22999954,54.94792175,75.84999847,37.29000092,73.09136963,76.01213074,67.58823395,38.91999817,251.257782,155.8099976,207.2200012,135.3399963,340.480011,96.94999695,119.0180893,157,73.87042999,142.6760712,73.82901764,57.33582687,603.25,66.470047,74.52813721,28.10164833,99.25637054,494.3599854,73.47123718,84.09900665,135.9840546,207.8270416,239.7390442,184.2459564,188.8993073,106.9647446,106.0800018,159.0700073,182.8999939,86.14300537,111.091774,61.8515892
9/6/17,48.24977112,65.28527069,151.6100006,62.79279709,145.1199951,176.6300049,75.80418396,161.3396606,185.4268646,60.39499664,190.339325,216.6799927,317.3599854,28.21999931,53.91796875,60.25631714,44.15999985,66.39034271,181.9759674,71.81829071,82.48483276,57.41999817,55.38563538,75.12999725,37.40999985,73.43663025,75.01236725,67.62352753,39.06000137,250.6041107,156.8699951,207.4199982,135.8600006,340.7900085,96.25,119.723587,158.4799957,74.50899506,146.7974701,73.87526703,57.67829132,605.4699707,66.85582733,74.78593445,28.25962257,99.1085434,500.2200012,74.48794556,84.00246429,135.5135193,222.0834808,240.9681702,187.6036224,188.0179138,106.3905792,106.7300034,157.0800018,183.9100037,87.50114441,112.4434586,62.0669899
9/7/17,48.53253555,69.29305267,153.8500061,63.21006393,143.5,179.9900055,77.53211975,163.447052,185.1289368,60.69440842,191.3653564,215.4400024,323.8999939,28.54000092,56.59270859,60.65152359,44.54000092,67.73521423,184.8539886,72.29479218,83.54510498,57.36999893,56.25134277,71.23000336,37.44666672,75.6676178,74.12906647,68.56078339,38.90000153,250.2626953,157.9499969,210.1999969,134.3399963,345.4899902,96.73999786,121.1162491,158.0399933,75.46221161,150.4169464,73.94924927,57.96668243,611.8300171,67.0932312,78.47128296,28.25962257,99.13626099,471.9200134,75.60056305,84.01211548,136.569809,223.7879639,244.6355438,188.7723541,188.5316315,108.944664,105.3000031,159.4100037,184.8800049,87.85543823,112.4823532,63.49651718
9/8/17,49.03209305,72.30948639,156.8999939,63.09361649,141.1900024,181.4400024,77.47577667,163.383728,186.291748,61.11938477,195.3255615,218.4199982,326.3299866,28.79000092,56.39457321,60.03675842,44.77000046,68.07881165,184.4342804,71.67443085,85.17477417,58.31000137,56.8446846,71.26000214,37.72999954,75.34005737,74.78910828,68.76078033,38.79999924,250.2919769,157.4900055,209.6799927,129.4600067,347.5299988,97,120.0075989,157.5500031,76.73934937,151.4786987,75.87315369,57.9216156,612.7000122,66.91517639,79.04414368,28.35107422,99.36725616,471.4899902,76.57888794,84.06041718,136.8386841,229.315155,251.3007813,189.8024597,188.1320496,109.3901291,106.4199982,158.8300018,186.5599976,89.98121643,112.5115204,63.34965134
9/11/17,49.437397,73.71602631,157.8099976,64.15130615,142.9299927,184.1199951,79.25067902,168.674881,188.3098907,62.08524704,195.4885712,218.8600006,326.5400085,28.95000076,56.4846344,61.2399559,45.27000046,69.19791412,186.1930847,71.67443085,85.47911072,59.79999924,57.6228447,73.12999725,38.37666702,74.82658386,76.05098724,69.63529205,39.20000076,250.9260406,160.2299957,212.2400055,124.9499969,348.4933472,96.94000244,122.0507813,159.2100067,76.47096252,153.6986694,75.43842316,58.69667816,623.7399902,67.55812836,81.22096252,28.53398514,100.0048218,445.1099854,78.05599976,84.47563934,137.9813995,230.3989258,253.2094421,191.723938,189.8730469,111.4591446,107.1900024,157.8099976,189.1100006,89.89264679,112.6087799,63.91756439
