Date,APA,BKR,COG,CVX,COP,DVN,FANG,EOG,XOM,HAL,HES,HFC,KMI,MRO,MPC,NOV,OXY,OKE,PSX,PXD,SLB,FTI,VLO,WMB
5/19/17,46.88775635,36.11521912,22.13823318,91.48932648,42.96921158,35.16255188,98.49681854,88.50965881,67.0838623,43.98159027,45.41207504,23.46986198,16.11655807,13.9196167,46.16366196,34.01765442,50.82710648,39.55570221,68.49704742,170.4131012,62.0581131,29.99038124,53.82172012,24.13228607
5/22/17,45.84296417,35.97874069,22.13823318,91.14576721,42.47145081,34.87861633,97.66581726,87.84919739,67.37863159,43.37405777,45.69977951,23.70109177,16.10829926,13.83339691,46.33858871,34.15446472,50.7851944,39.73259354,68.75967407,167.4606476,62.17919922,30.00907707,53.7964325,24.16425514
5/23/17,45.82463074,35.77403259,22.20423126,91.27459717,42.31760406,34.64047241,96.13755035,87.30195618,67.61608124,43.8158989,46.00606155,23.41649628,16.11655807,13.94835567,46.42606735,34.20332718,51.59822845,40.17098999,68.40077209,167.6342926,62.35217285,29.71927452,54.03239059,24.36401939
5/24/17,45.7054863,35.31499481,21.51594734,91.23165131,42.23614883,34.00848007,94.91493988,87.43405151,67.37863159,43.9171524,45.98749542,23.25641632,15.99271011,13.9196167,46.46978378,33.67561722,51.26296234,40.59401321,68.52331543,167.5571136,61.72078705,29.26118469,53.77116776,24.19621086
5/25/17,43.72585678,34.01852798,21.54423332,90.27828979,40.77006912,32.72618484,95.16329193,85.87727356,66.93647003,41.79999924,44.36331177,22.68723488,16.03399467,12.93288803,45.87503433,31.85795403,50.88578033,39.73259354,67.77050781,162.6942444,60.01689529,27.46625328,53.24869919,23.8605957
5/26/17,44.16577148,34.39692307,21.64794922,89.9433136,41.04156494,32.80861282,93.99797821,86.065979,66.77272034,42.12216568,44.67887497,22.0291214,15.8936348,12.95204544,46.19865036,32.024086,51.12885284,39.75567245,67.7880249,164.257309,60.62232971,27.17644691,52.62511444,23.72475624
5/30/17,43.58839417,34.16119766,21.17652321,89.37643433,40.53476334,31.59042931,90.0531311,84.55638123,66.40425873,41.56067657,43.31455994,21.74453354,15.20835018,12.56884956,45.84879684,31.85795403,50.39125824,38.34049225,67.40286255,159.278656,59.88186646,26.8118515,52.32176208,22.92567444
5/31/17,42.85520172,34.21082687,20.92194748,88.87828827,40.44426346,31.12330055,88.60128021,85.20738983,65.91298676,41.59749222,42.59063721,21.25539017,15.48906803,12.47305107,45.5164299,31.92635536,49.39382553,38.2097435,66.62377167,160.9960938,60.62232208,27.06426239,51.79929733,22.85375786
6/1/17,43.35010529,34.44654083,20.88423157,89.55680847,40.5981102,31.38892174,89.75702667,85.29232025,66.07674408,41.87364197,43.29599762,21.92239952,15.67896461,12.54968929,46.46978378,31.89704323,50.71814346,38.80196762,67.07022095,161.1022034,60.78784943,27.51299667,52.34702682,23.02156258
6/2/17,43.06599426,34.08675766,20.35623932,88.5605011,40.05511475,30.34476471,87.72251892,84.61300659,65.09418488,41.69874191,42.46070099,21.37989807,15.64594173,12.18565083,46.09369659,32.14135361,50.87739944,38.10976791,66.85138702,159.0856628,60.07352066,27.11100388,52.33018494,23.07749748
