Date,CHTR,TTWO,DHR,WST,IDXX,AJG,KEY,PGR,AMD,CDNS,PAYC,PYPL,SNPS,ZBRA,NEM,NEE,ODFL,ROL,TDY,CHD,BWA,DG,TGT,TSLA,AAPL
2016-01-22,174.72000122070312,33.630001068115234,42.9900016784668,56.47867965698242,66.36000061035156,33.44178771972656,9.553634643554688,24.692325592041016,2.0199999809265137,19.520000457763672,32.29999923706055,31.690000534057617,41.70000076293945,56.5,15.327431678771973,23.446205139160156,34.5275993347168,10.845090866088867,78.61000061035156,37.60758590698242,26.816734313964844,68.09437561035156,59.319122314453125,40.5099983215332,23.45563316345215
2016-01-25,172.33999633789062,33.61000061035156,42.50141525268555,55.79634475708008,65.87000274658203,32.757850646972656,9.156973838806152,24.321325302124023,2.119999885559082,18.8700008392334,31.239999771118164,31.469999313354492,41.119998931884766,55.380001068115234,16.237146377563477,23.406618118286133,33.69395065307617,10.745365142822266,76.94000244140625,36.8560791015625,26.03289031982422,68.39761352539062,58.63844299316406,39.2760009765625,22.997716903686523
2016-01-26,172.1699981689453,34.27000045776367,42.65252685546875,55.82558822631836,65.79000091552734,33.175315856933594,9.232930183410645,24.31307601928711,2.069999933242798,19.299999237060547,30.5,31.969999313354492,41.779998779296875,58.52000045776367,16.99985122680664,23.43741798400879,34.94770431518555,10.99052619934082,78.4000015258789,37.25502395629883,26.51241683959961,69.82849884033203,59.93172836303711,38.71200180053711,23.124914169311523
2016-01-27,165.2899932861328,33.7400016784668,42.435935974121094,55.377197265625,65.19000244140625,32.926605224609375,9.216052055358887,25.046844482421875,2.130000114440918,18.84000015258789,28.780000686645508,31.59000015258789,41.5099983215332,57.27000045776367,17.863622665405273,23.474807739257812,34.54729461669922,10.87833309173584,77.2300033569336,37.347808837890625,26.733739852905273,70.16012573242188,60.144412994384766,37.61399841308594,21.605453491210938
2016-01-28,167.3000030517578,33.61000061035156,42.5467414855957,53.65183639526367,64.66999816894531,32.18938064575195,9.35108470916748,25.32715606689453,2.0799999237060547,18.989999771118164,29.219999313354492,34.2400016784668,41.61000061035156,55.70000076293945,17.94632339477539,23.820117950439453,34.29784393310547,10.953128814697266,77.8499984741211,37.848812103271484,26.254209518432617,69.55368041992188,60.39966583251953,37.939998626708984,21.76041030883789
2016-01-29,171.36000061035156,34.70000076293945,43.6447868347168,55.7768440246582,70.13999938964844,33.43290710449219,9.41860294342041,25.764114379882812,2.200000047683716,19.559999465942383,30.149999618530273,36.13999938964844,42.900001525878906,60.400001525878906,18.34145164489746,24.570133209228516,35.99140930175781,11.447595596313477,81.25,38.96677780151367,27.07494354248047,71.12667083740234,61.6163215637207,38.2400016784668,22.512041091918945
2016-02-01,175.75,34.619998931884766,43.29724884033203,55.65011978149414,71.4000015258789,33.60166549682617,9.35108470916748,25.86424446105957,2.140000104904175,19.540000915527344,31.34000015258789,37.08000183105469,42.58000183105469,60.02000045776367,18.883607864379883,24.849468231201172,37.199214935302734,11.335404396057129,80.68000030517578,39.46314239501953,27.453031539916992,72.34907531738281,61.96516418457031,39.38800048828125,22.30158233642578
2016-02-02,172.0,33.439998626708984,42.49637985229492,55.44542694091797,71.44000244140625,33.29966354370117,9.081018447875977,25.872730255126953,1.9900000095367432,19.229999542236328,30.899999618530273,36.83000183105469,42.25,57.93000030517578,18.44253158569336,25.054018020629883,36.31306457519531,11.23983383178711,77.05999755859375,39.792503356933594,26.493972778320312,72.33960723876953,62.373558044433594,36.555999755859375,21.850603103637695
2016-02-03,176.4499969482422,32.83000183105469,42.83385467529297,55.425926208496094,71.45999908447266,34.23231887817383,9.097896575927734,25.813331604003906,2.069999933242798,19.229999542236328,30.270000457763672,37.0099983215332,42.529998779296875,59.689998626708984,20.528459548950195,25.238773345947266,36.359012603759766,11.302163124084473,77.69999694824219,40.39091873168945,26.23576545715332,71.16458129882812,61.74394226074219,34.69599914550781,22.283084869384766
2016-02-04,170.5,35.08000183105469,43.54405975341797,54.62661361694336,70.91999816894531,34.356658935546875,9.207612991333008,26.016984939575195,2.0899999141693115,20.399999618530273,30.969999313354492,37.16999816894531,42.86000061035156,61.0099983215332,21.484128952026367,24.96823501586914,39.424476623535156,11.18581771850586,80.80000305175781,40.23784637451172,27.416141510009766,69.0419692993164,59.59136962890625,35.066001892089844,22.462125778198242
