Date,TSLA,AAPL,SQ
2018-10-29,66.97000122070312,51.569732666015625,67.27999877929688
2018-10-30,65.9800033569336,51.8272819519043,68.76000213623047
2018-10-31,67.46399688720703,53.17824935913086,73.44999694824219
2018-11-01,68.85600280761719,53.99465560913086,76.73999786376953
2018-11-02,69.28199768066406,50.41315841674805,77.76000213623047
2018-11-05,68.27999877929688,48.98200225830078,75.01000213623047
2018-11-06,68.21199798583984,49.51169967651367,77.30999755859375
2018-11-07,69.63200378417969,51.013309478759766,82.69000244140625
2018-11-08,70.27999877929688,50.83531951904297,75.2300033569336
2018-11-09,70.10199737548828,49.85513687133789,73.2699966430664
2018-11-12,66.25599670410156,47.34372329711914,69.83000183105469
2018-11-13,67.74600219726562,46.870704650878906,71.8499984741211
2018-11-14,68.80000305175781,45.54672622680664,69.80999755859375
2018-11-15,69.68800354003906,46.67076873779297,73.5999984741211
2018-11-16,70.86199951171875,47.18767547607422,70.58999633789062
2018-11-19,70.69400024414062,45.31753158569336,62.970001220703125
2018-11-20,69.49800109863281,43.152347564697266,61.81999969482422
2018-11-21,67.63800048828125,43.10358810424805,62.619998931884766
2018-11-23,65.16600036621094,42.008811950683594,63.470001220703125
2018-11-26,69.19999694824219,42.57692337036133,66.5199966430664
2018-11-27,68.78399658203125,42.48426818847656,65.87999725341797
2018-11-28,69.5739974975586,44.11790466308594,69.88999938964844
2018-11-29,68.23400115966797,43.77899169921875,69.9000015258789
2018-11-30,70.09600067138672,43.54248046875,69.83999633789062
2018-12-03,71.697998046875,45.06394958496094,71.94999694824219
2018-12-04,71.94000244140625,43.08164596557617,63.5099983215332
2018-12-06,72.61199951171875,42.60131072998047,65.69000244140625
2018-12-07,71.59400177001953,41.082271575927734,60.779998779296875
2018-12-10,73.02999877929688,41.3529167175293,63.380001068115234
2018-12-11,73.35199737548828,41.11640548706055,61.779998779296875
2018-12-12,73.31999969482422,41.23100662231445,63.650001525878906
2018-12-13,75.35800170898438,41.68208312988281,62.900001525878906
2018-12-14,73.14199829101562,40.348350524902344,62.13999938964844
2018-12-17,69.68399810791016,39.972862243652344,58.619998931884766
2018-12-18,67.40599822998047,40.492210388183594,59.91999816894531
2018-12-19,66.59400177001953,39.229183197021484,59.029998779296875
2018-12-20,63.07600021362305,38.239253997802734,55.900001525878906
2018-12-21,63.95399856567383,36.75191116333008,52.5099983215332
2018-12-24,59.077999114990234,35.800994873046875,50.720001220703125
2018-12-26,65.21800231933594,38.3221549987793,55.31999969482422
