Date,MO,ADM,CPB,CHD,KO,CL,CAG,STZ,COST,COTY,EL,GIS,HRL,SJM,K,KMB,KHC,KR,MKC,TAP,MDLZ,MNST,PEP,PM,PG,SYY,CLX,HSY,TSN,WBA,WMT
3/1/17,59.35214996,40.93998337,52.44495773,47.50530624,36.94953156,66.82641602,37.04846191,150.8013458,160.1040192,17.24501991,80.93759155,52.09577942,32.51239395,124.9956665,65.68045044,117.211998,76.99710083,29.49229813,46.39156723,91.38739777,40.43218994,42.00999832,98.16629028,89.11276245,81.64597321,48.02767181,124.0902023,99.54801941,59.45378876,76.75886536,64.67126465
3/2/17,59.4463768,40.03333664,52.74468994,47.46747208,37.22123337,67.08112335,36.92259979,149.6864929,160.2120819,16.65742493,79.84944916,52.40550613,32.44786453,125.2266464,65.84721375,118.3204117,76.87078094,28.21362495,46.53207016,90.31451416,40.19349289,47.36999893,98.50624084,88.77319336,80.97792816,47.69332504,124.3073349,99.30232239,58.43511581,76.73232269,64.95584869
3/3/17,59.32860565,39.78686523,52.48902512,47.14592361,37.22998428,66.94467926,36.99452591,149.9982758,153.2627106,16.68413544,79.87834167,52.25064468,32.60456467,124.8179626,65.36447144,117.5726776,77.05604553,27.25691605,46.56485367,91.56163025,40.14759064,48.04000092,98.90880585,89.10469055,80.61270905,47.16018677,123.8730545,98.87465668,58.89814758,75.98039246,64.28572083
3/6/17,59.33646011,39.39955902,52.26863098,46.97568512,36.96706772,67.12663269,37.08442688,149.0912476,150.0851593,16.85329247,79.6472168,51.99252701,32.26350021,124.3737564,65.14503479,117.2911682,76.76972198,27.01773834,46.47586823,90.07611847,40.07413864,46.97999954,98.076828,88.71659851,80.4969101,47.1330719,123.7645035,98.8200531,57.40717697,75.97154999,64.14803314
3/7/17,59.74470139,39.13547897,52.09231949,46.86218643,36.80055618,67.06292725,36.6349144,148.533783,150.328186,16.73755264,79.7049942,51.83765411,32.12522507,123.6452026,65.07479858,117.3351593,76.46655273,26.50259209,46.36346817,88.93902588,39.68855667,46.70000076,97.79949951,89.37957001,80.42564392,47.25958252,123.8640366,98.4105835,57.31456757,76.06886292,64.13885498
3/8/17,59.54057312,38.72177124,51.71324539,46.82436752,36.80055618,66.55350494,36.23935318,147.749649,149.6440735,16.68413544,79.85907745,51.68279266,31.94087029,122.9966278,64.82904816,117.2820129,76.55077362,26.67737389,46.34005356,88.73729706,39.60592651,47.36999893,97.78161621,88.70852661,80.29203796,47.2867012,123.4116745,98.79273987,57.34235001,75.33462524,64.54571533
3/9/17,59.81535721,39.10026932,52.03941727,46.93785095,36.83560181,66.74454498,36.47309494,147.1921997,149.2209778,16.63961983,79.81092834,52.16461182,31.8486805,124.107193,65.039711,117.6009979,77.08131409,26.52099419,46.82711029,88.75563812,40.21186066,47.00999832,97.53112793,89.16127777,80.47016907,47.36802292,123.9997177,99.51160431,57.68499756,75.46730042,64.60121155
3/10/17,60.01947403,39.6460228,52.18048096,47.31615829,37.06346893,67.55417633,36.77876282,148.8644867,148.8609314,17.00464249,82.60353088,52.1129837,32.32802582,123.929512,65.11870575,118.6466827,77.06446838,26.51179123,46.98165512,89.03990173,40.25775528,46.81999969,98.04103851,89.37149811,81.12042999,47.1330719,124.9134979,99.12033081,58.8518486,75.75038147,64.82313538
3/13/17,59.86911774,39.34674454,52.05705261,47.14592361,37.16072464,67.22668457,36.87765884,149.6486969,148.1227875,17.0936718,82.20872498,52.06997299,32.20818329,123.5918961,65.08358765,118.5137329,76.78656769,26.39220428,47.00975037,89.39753723,40.58826828,46.43000031,97.88002014,89.75956726,81.33421326,46.88006592,125.0672913,98.91103363,58.89814758,75.73270416,64.68444061
3/14/17,59.6237793,39.32033539,51.96889496,47.05134964,37.10767746,66.99925232,37.07543564,150.3383942,148.7439117,16.85329247,81.64057159,52.01834869,31.98695374,123.4230957,65.15381622,118.3364868,76.68551636,26.40140533,47.14088058,89.04906464,40.26694107,46.27000046,97.8174057,89.55742645,81.05808258,46.8710289,124.5244751,98.74726105,58.03691101,75.54692841,65.39647675
