Date,ARE,AMT,AIV,AVB,BXP,CBRE,CCI,DLR,DRE,EQIX,EQR,ESS,EXR,FRT,PEAK,HST,IRM,KIM,MAA,PLD,PSA,O,REG,SBAC,UDR,VTR,VNO,WELL,WY,SPGSLG
11/30/18,117.008461,157.7424164,4.395534992,176.0380707,120.9069595,43.68000031,106.5863495,106.4579391,26.97566414,372.0737,65.84622192,244.5729218,88.8074646,121.0496216,26.56166077,17.53983307,28.3954277,14.43372536,96.03238678,63.43263245,196.2953644,58.52127457,58.29644394,169.2395477,39.43587494,56.20322418,62.44493103,66.0898056,24.61739922,
12/3/18,118.324234,156.3902435,4.397402287,176.1673737,121.8284988,44.25999832,105.4731522,107.2445145,27.32636833,377.7038879,66.42844391,244.8244781,89.76049805,122.5892258,26.47088242,17.86293602,28.33691597,14.66325283,95.8747406,64.66663361,195.5221863,58.84999466,58.66274643,168.3973846,39.63944244,56.29174423,62.67922974,66.38219452,24.70129204,
12/4/18,116.1062317,156.7738342,4.301259041,173.0358734,119.9669647,41.74000168,106.6791,105.125351,26.55861664,371.8901978,65.39337921,241.8524323,89.65871429,120.2981796,26.39826012,17.281353,28.35363197,14.31013298,93.65846252,62.98049164,194.9607086,58.47561646,57.86605072,168.2685547,38.65863037,55.91110229,61.44699097,65.90705109,23.41496086,
12/6/18,119.4332275,160.7536011,4.414203644,177.0541992,122.0865021,42.59999847,108.9703827,108.179184,27.32636833,379.2586975,67.14002991,247.5262909,92.36050415,124.2204437,27.44220924,17.40136147,28.74650192,15.06934071,95.90254974,64.50649261,199.0290985,60.45707321,60.27445984,169.9331055,39.70420456,57.91172028,62.45359802,68.27362061,24.92500114,
12/7/18,118.5779648,159.6028137,4.394601822,174.2275238,118.9532776,41.15000153,107.3841248,107.0871964,27.03253746,373.2229309,66.23436737,245.6443481,91.32419586,122.8183365,27.11540985,16.97671318,28.46229744,14.94574738,94.43740845,62.96165085,197.1053925,60.20141602,59.57849884,166.6238251,39.2600708,57.95597458,61.31681442,67.36903381,23.55478096,
12/10/18,118.1926422,159.3726807,4.388067245,173.1559906,117.018013,41.15000153,107.6995087,107.6702042,26.9472332,373.8119812,66.08650208,244.6567841,90.38043976,121.7002945,27.05186081,16.7182312,28.40377998,14.81333065,94.47450256,62.11388016,196.9212799,59.95485687,58.75432968,167.3173676,39.15828705,57.35402298,60.87425613,66.71114349,23.9462719,
12/11/18,117.1306381,159.8042145,4.41980505,173.5901337,117.1101685,40.97000122,107.7366257,108.0773849,26.95671463,376.4388123,66.00331879,245.2996521,90.96335602,122.1768341,26.87030792,16.58898926,28.80501938,14.77801514,94.52086639,62.61312485,195.8063202,60.53924561,58.54369354,169.7151489,39.26931763,57.40713882,60.72673416,66.74769592,23.38699532,
12/12/18,113.9916306,157.8958588,4.316193104,169.812027,114.6127777,40.81000137,107.124382,106.9761505,26.20791435,373.850708,64.22894287,240.4828644,90.02883148,119.4917374,26.24393845,16.47821236,28.47901535,14.37192917,92.6384201,60.88930893,189.8133698,59.50742722,56.96861649,167.4164734,38.10345459,55.88453674,59.3903656,65.53243256,23.04211044,
12/13/18,115.5987244,159.9576569,4.382466793,172.3708038,115.9766617,41.45999908,107.7754364,107.6949997,26.59653282,375.9752502,64.70950317,243.8462219,90.92501068,120.5639572,26.32563782,16.41359138,29.21460724,14.43372536,94.09431458,61.34145737,184.9447174,60.55750656,57.05103302,170.6365967,38.76966476,55.23832321,59.72878647,66.06240082,22.83704185,
12/14/18,115.1288071,159.7658691,4.403002262,172.6479187,115.8752899,41.04000092,107.3070526,106.7240906,26.59653282,373.6382141,64.63556671,244.3586731,90.85032654,119.9682617,26.28025055,16.41359138,29.79397964,14.52200508,94.03865814,61.04943848,189.0514984,60.57575989,56.31843567,170.9140015,38.87145233,55.37996674,59.32094193,66.09894562,22.39894485,
12/17/18,111.6044617,154.338028,4.212582588,166.154007,110.6317062,39.45999908,103.8972092,100.3665848,25.44015694,356.409668,62.60242462,236.8959503,87.00421906,115.9177017,25.39970207,15.9889431,28.39020729,13.67452049,90.04193878,58.38274002,185.4278564,58.53953552,53.33309937,163.0965576,37.67782211,53.88392639,57.09944153,64.61871338,21.9981308,
12/18/18,113.0047989,155.6518402,4.23965168,168.0384216,111.0924759,41.15000153,103.6255417,101.7575836,25.81929588,358.2542114,63.13844681,240.4549408,87.48030853,114.8913193,25.92621422,16.23819351,28.84962463,13.67452049,91.14545441,59.43613815,189.6740265,59.40698624,54.2763176,163.9189148,38.14972305,54.56555557,57.51596832,65.23090363,22.03541565,
12/19/18,112.7228622,155.872406,4.240585804,166.9946136,108.7609634,40.47000122,103.2883072,101.3001328,25.66763878,355.8109436,63.05526733,238.1350861,87.5456543,112.6735764,25.72650146,15.89662838,28.30513382,13.27726173,90.91361237,58.12650681,188.8470612,59.00522232,52.88438034,163.5820465,38.12195969,54.36194611,55.99736404,64.98419952,21.62528229,
12/20/18,110.3544998,154.9134064,4.220983982,166.6343536,105.9871063,39.40000153,103.0447464,99.05027771,25.44015694,345.9315796,62.95360565,237.9394226,86.8548584,111.2989655,26.11684799,15.25042439,27.58197212,13.02125168,90.23667908,57.29138947,188.5497437,58.61258316,52.68291855,161.8976746,38.0294342,54.03441238,55.04281998,65.00247955,20.71180153,
12/21/18,108.3996429,151.5186157,4.142575264,163.5397949,104.5679169,38.72999954,99.48500824,99.05027771,25.18424034,338.3023987,62.14034653,234.5481567,86.42543793,109.7043839,25.66295624,15.26888752,27.33525658,12.99476719,90.1346817,55.86787796,188.8935242,58.24734497,52.61881638,160.3024597,37.585289,53.35279083,54.07958603,64.33545685,19.83560562,
12/24/18,103.6441193,147.279953,3.940953493,155.9650879,100.5315399,37.63999939,97.30233765,95.60546112,23.69612503,327.399353,58.85035324,223.2749176,82.71002197,105.6904755,24.3012867,14.71499729,26.06760597,12.63282108,85.52593231,53.08729553,182.7333527,55.03317261,51.06205368,156.6761475,35.6051712,50.90954971,52.23123169,60.70795822,19.66781998,
12/26/18,107.1120834,151.8987274,4.053898811,160.0757751,103.8951874,39.43000031,100.8245926,97.724617,24.42596626,337.2980347,60.45838165,228.0730286,84.30632782,109.8235168,25.36339188,15.54583168,27.2842083,13.25960636,88.33569336,55.01377487,186.1990356,57.44379044,53.18658066,162.7596741,36.56747818,52.70656967,53.97545624,63.1384697,19.9008522,
12/27/18,107.6007919,152.930481,4.062300682,160.186615,103.8398972,40.13000107,101.0587845,97.84598541,24.36909294,334.5167847,61.04983902,228.9208679,84.67041779,110.1809235,25.24537849,15.54583168,27.3607769,13.27726173,88.53971863,55.04224396,187.4161835,57.80904388,53.42468262,161.6896057,36.56747818,52.39673615,53.67173386,63.29380035,20.06863403,
12/28/18,107.998909,153.1522369,4.058566093,160.8666992,104.0257797,39.88999939,101.2836227,99.02225494,24.22691536,340.7553101,61.21619415,229.2469635,83.97960663,110.2725677,25.30892372,15.63016701,27.5564537,13.24195099,88.19659424,55.50725555,187.5927429,57.84556198,53.54372406,160.996048,36.42868042,52.54722977,53.89735794,63.38518906,20.34827042,
12/31/18,109.2311172,152.5351105,4.095903397,162.152359,104.6019974,40.04000092,101.7613602,99.47038269,24.54918289,340.4752502,61.5050354,230.1951141,84.46503448,109.0987625,25.35431099,15.6207962,27.57346916,13.17897892,88.74370575,55.72553253,188.0666046,57.76402664,53.73603058,160.4015656,36.66000366,52.56786346,53.82793427,63.42172241,20.37623596,
1/2/19,105.5629044,151.1369629,3.953088284,157.6338959,101.4420929,39.93000031,99.25082397,96.33363342,23.73403931,338.0030518,59.40858459,222.1029205,81.62713623,107.0376816,24.49192047,15.35841942,27.30973053,13.11600876,85.91542053,54.12171555,181.237442,56.7469101,52.02358246,159.272049,35.52189636,51.06951523,52.37875748,61.48462677,20.06863403,
1/3/19,106.4349518,152.0433502,3.987624645,158.3792267,101.8695984,37.88999939,99.74730682,95.84816742,23.76247406,334.0821838,59.78129578,223.2763672,82.57933044,107.7585983,25.37247086,15.32093716,27.74362564,13.08902168,86.53671265,53.68516922,184.7124481,57.2508812,52.09684372,161.045578,35.69769669,51.93084335,52.23991394,62.61764908,20.74908447,
